1,4,4,0,"- negli ospedali sono ricoverati solo italiani, perché non ci sono immigrati ?, forse perché sono vaccinati contro la tubercolosi, il vaccino ha durata circa 20 anni e quanti di noi si è rivaccinato ?","A0"
3,1,3,0,"--- magari un richiamino ogni tanto --- #covid2019  10 anni prima: ""di vaccino si può morire"" link di il blog di beppe grillo","A2"
4,1,1,0,". user a user_it : contro il virus #covid19 gli scienziati troveranno un vaccino, ma contro il cambiamento del #clima non c'è vaccino, per questo l'ue ora deve investire in un futuro pulito, che è il futuro dei nostri figli","A8"
1,1,4,0,"...si diffonderà, torneremo presto alla normalità e i medici troveranno prima le cure più efficaci e poi un vaccino. ma intanto il rischio è alto, sia per chi ha già problemi, sia per una percentuale che avrà bisogno di cure ospedaliere come il paziente 1. (cont) #covid19italia","A11"
1,4,4,1,"‘world against covid 19’ lanciato piano cooperazione globale per vaccino link","A14"
3,4,3,2,"""abbiamo l'unico farmaco per il coronavirus: il plasma. è più potente di un vaccino"" ► dr. de donno  link","A16"
5,6,3,2,"""ammalato di tumore all'orecchio, ex dipendente telecom vince la causa: ora usa solo auricolari con il filo""  in questo caso la consulenza medica del tribunale  corretta o, come nei casi di danni da vaccino, dobbiamo pensare che non siano degli esperti? link","A18"
1,1,4,0,"""bisogna convivere con il virus fin quando non si troverà un vaccino, per questo si dovranno utilizzare mascherine e guanti…"" beh a noi che portiamo gli occhiali da vista abbiamo un grandissimo problema !!!","A19"
4,6,4,1,"""dopo i novax, i notrax"" indovinate su quale testata giornalistica hanno coniato il neologismo notrax   appioppato  a chiunque abbia rilevatp  perplessità  sulla app immune.","A21"
2,4,3,1,"""focolai di poliomielite in africa causati da mutazione del ceppo nel vaccino"" link","A22"
4,3,4,2,"""i casi di infezioni e decessi sono in aumento""  ""in toscana si  registrato il pi grande focolaio mai visto al mondo per quanto concerne il batterio new delhi""  per il new delhi non c' cura e non c' vaccino, quindi, non c' nessuna emergenza. link","A24"
1,3,3,2,"""il grossissimo problema è che qualsiasi nuovo vaccino contro il #coronavirus potrebbe innescare reazioni immunitarie letali quando le persone vaccinate entreranno in contatto con il virus selvaggio!""  ma che problema c'è? facciamo subito la sperimentazione umana.  #covid19","A25"
4,4,1,1,"""l'accordo con rottapharm biotech ci dà un po' di benzina per pianificare gli studi sul nostro vaccino e fare le cose con più tranquillità. stiamo disegnando lo studio di fase 1-2, che partirà a ottobre e coinvolgerà all'inizio un'ottantina di persone"". link","A27"
3,4,3,1,"""l'italia sta combattendo ancora, sul piano scientifico, sul vaccino"".  far passare il messaggio che tutto si possa curare con un farmaco.  anche i mali dell'anima.   link","A29"
4,6,6,4,"""ma le fasce a rischio si tutelano! c'è il vaccino""  che fa solo il 53,1% della popolazione a rischio.  vogliamo ancora prenderci in giro?  5/ link","A33"
1,2,4,3,"""mio padre ha terminato da poco la chemioterapia.  il caso di fargli fare il #vaccino antinfluenzale: ci sono controindicazioni? dobbiamo chiedere alloncologo?"" la risposta del nostro presidente giordano beretta  #influenza #tumore link","A34"
6,1,6,4,"""non ti bacio perch� ho l'influenza! "" ""ma io ho fatto il vaccino"" ???? poetic cinema #uominiedonne","A37"
1,1,4,0,"""non vender il vaccino anti-coronavirus a trump. deve essere bene di tutti"" link","A38"
